TweetID,SentimentClass-0:neutral-1:negative-2:positive,SentimentScore
'1498195252271849473,1,-0.998200844
'1498190294193524740,1,-0.991453608
'1498143867253764098,0,0.00242647
'1498038725569306626,0,0.03401367
'1498033178824613890,1,-0.975252491
'1497990493157928971,2,0.646935274
'1497941908240359427,1,-0.980475403
'1497931683303067651,2,0.97676379
'1497924165331992577,0,0.011561716
'1497913851941171201,0,0.032103488
'1497902676654407682,0,0.043919411
'1497818554556723200,0,0.013551786
'1497674670245564420,0,0.208534377
'1497654705601847302,0,0.008763624
'1497606441330483200,0,0.215525028
'1497513511483629568,1,-0.997003209
'1497410867352195072,1,-0.997676968
'1497350870735810560,0,0.05125479
'1497261232088305669,0,0.019457336
'1497254676294782983,0,0.01003774
'1497249653234049042,0,0.190952481
'1497221611086356480,1,-0.99289317
'1497195055857213440,1,-0.991600381
'1497157690321113092,1,-0.997601648
'1497152772583665685,2,0.505198766
'1497132146317836288,1,-0.997949078
'1497004050079961090,1,-0.997957489
'1496994124083261458,1,-0.992890305
'1496982239833477133,2,0.982372366
'1496981904981172225,1,-0.997213648
'1496891639746416650,1,-0.903835915
'1496868604079394819,1,-0.994795914
'1496860666577264642,1,-0.995967316
'1496813008936476675,1,-0.646508218
'1496794662979325954,1,-0.942280316
'1496766709671374849,0,0.007337257
'1496765934375161856,0,0.078756833
'1496760334409170950,1,-0.739346415
'1496707242111950848,1,-0.998755686
'1496595946976780296,0,0.005668469
'1496577767768473607,1,-0.997637756
'1496546736629764101,0,0.005886856
'1496530355062513666,1,-0.502308984
'1496528119452291072,0,0.049033783
'1496487893002780672,0,0.019729133
'1496484953248444421,1,-0.986224752
'1496483852788944896,0,0.0024584
'1496479677338333188,0,0.011224123
'1496477503434760198,0,0.134755571
'1496470618337861637,0,0.016115544
'1496459741249380353,2,0.867531113
'1496453724302200841,0,0.0149821
'1496450738498715651,1,-0.934187476
'1496444594225037316,1,-0.938824805
'1496428835134443522,0,0.005576316
'1496428128713031680,0,0.065000053
'1496421832970358787,1,-0.687338172
'1496399505100611584,0,0.066176671
'1496364152507359237,2,0.880561345
'1496318177554350082,0,0.004491659
'1496223017902477312,0,0.12870813
'1496207844487700480,0,0.237600161
'1496198620927963143,2,0.960005921
'1496187690601127943,0,0.197113877
'1496178793177886720,1,-0.997204151
'1496170983362809862,1,-0.876534688
'1496164220983029763,0,0.06696333
'1496162421127487495,0,0.220109686
'1496122837685485572,0,0.006898988
'1496110957298438146,0,0.22211564
'1496105827668738050,0,0.0050469
'1496100825642455041,0,0.162661336
'1496079013986676738,2,0.919840937
'1496078461206679557,1,-0.864616408
'1496070911593697286,0,0.021197395
'1496021696251416579,1,-0.982379565
'1496018508358033410,0,0.245791297
'1496017017610162178,0,0.032797299
'1496016249154949122,0,0.238703441
'1495986206273941508,2,0.974964031
'1495819533197664264,1,-0.927264416
'1495817106239201284,1,-0.579955508
'1495801811688693767,0,0.051783818
'1495801720324165633,1,-0.997988944
'1495800903554768910,1,-0.99118226
'1495757109392289799,1,-0.988997279
'1495734443084029952,0,0.214974571
'1495733606349742084,2,0.987457885
'1495729036462542850,0,0.005503561
'1495702076919357443,1,-0.98881142
'1495685151573032961,1,-0.993351047
'1495682184748965892,1,-0.998333871
'1495675084484263936,0,0.010651647
'1495620882923986945,1,-0.987460605
'1495575492598054916,1,-0.994516546
'1495551724664279042,0,0.09701981
'1495550768203583488,1,-0.847526512
'1495549324989763591,0,0.21297977
'1495549100745539587,2,0.983573236
'1495548816715665409,0,0.044635647
'1495548652231827458,0,0.003735314
'1495548363944640513,1,-0.998296227
'1495548119764897793,2,0.581487875
'1495547751911903244,0,0.00682874
'1495547642985730051,1,-0.997104674
'1495547551235379206,1,-0.990321852
'1495547258695208962,1,-0.905582256
'1495547014985224197,0,0.00270057
'1495546582162448387,1,-0.968401721
'1495546296719097861,0,0.024772779
'1495545629375930369,1,-0.969798078
'1495545422093373440,0,0.03359371
'1495545115078758403,1,-0.996976442
'1495544995553632260,0,0.021038686
'1495544804314390529,0,0.023870958
'1495544603436531720,0,0.01862506
'1495544446116679681,0,0.005291149
'1495544369461530624,1,-0.997915519
'1495544124795232261,1,-0.970965657
'1495544006004154369,0,0.133496956
'1495543366838333440,1,-0.997081577
'1495542792290017281,2,0.987208092
'1495542661159215108,1,-0.994230068
'1495542572193828868,1,-0.905360532
'1495542267091763206,1,-0.996233983
'1495542157477875714,0,0.076407031
'1495542075441483778,1,-0.992944725
'1495541898030759949,0,0.02113773
'1495541797585625092,1,-0.995707883
'1495541656682119171,1,-0.974707794
'1495541566387142662,1,-0.932086719
'1495541366486712324,1,-0.998753285
'1495541159971672067,0,0.027806983
'1495540925258506246,0,0.024500194
'1495540819440320522,0,0.189021487
'1495540405991051268,1,-0.997734027
'1495540216333049860,1,-0.992200496
'1495481630571511810,1,-0.998013119
'1495459632529264642,0,0.007589702
'1495452381491904518,1,-0.744176559
'1495436475244163078,0,0.00721073
'1495421055707619328,2,0.95936511
'1495371469123170305,1,-0.982551179
'1495352333131255814,0,0.034264398
'1495310365697224706,1,-0.929526177
'1495309916092960771,0,0.015671838
'1495293741346787331,1,-0.99799811
'1495205063966531599,1,-0.991415554
'1495166169828970502,1,-0.977504681
'1495135674244157442,1,-0.99852537
'1495122479496503299,0,0.035518969
'1495121304751595520,0,0.08240997
'1495093699059109898,0,0.003317212
'1495070592306921483,0,0.052827162
'1495068568114892803,1,-0.963991897
'1495067534764257285,0,0.091383081
'1495063926568009730,1,-0.993496374
'1495057272011116552,1,-0.997457412
'1495033727872864262,2,0.980382938
'1495011158771871745,0,0.055122522
'1495001303923183619,1,-0.997593671
'1494996224935665673,0,0.003474544
'1494981213559439360,1,-0.992189
'1494962561019752448,1,-0.998452428
'1494943157548732416,0,0.128242975
'1494941557002317824,0,0.003865025
'1494908766319366152,0,0.077323705
'1494899539551178754,1,-0.996639744
'1494898785805385733,1,-0.992293394
'1494891758341156864,0,0.025029164
'1494804594320461824,1,-0.998299124
'1494760438957023237,2,0.618075053
'1494740466193031172,1,-0.996856123
'1494651388466544644,2,0.54945396
'1494651205431316485,0,0.022303797
'1494648156486832145,2,0.979594202
'1494647611416055819,1,-0.947192568
'1494647568147570691,0,0.213342773
'1494647421292449838,0,0.18155211
'1494647108128935967,1,-0.99699898
'1494647058954870784,0,0.047666849
'1494641128632733700,0,0.214671235
'1494640772825632768,1,-0.933133863
'1494640460488482818,2,0.914597346
'1494639825076592642,1,-0.37483295
'1494638960840163329,0,0.203138801
'1494637918836645889,1,-0.997664635
'1494637547577917440,1,-0.534580637
'1494637402102632497,1,-0.992432698
'1494636887708995591,1,-0.997759879
'1494636591419166734,2,0.784000308
'1494633634241912832,0,0.205797192
'1494631293220442114,0,0.051783818
'1494630998058971137,1,-0.990956852
'1494630734983794702,1,-0.997295514
'1494627348813123598,1,-0.998829597
'1494627224519118853,0,0.090668761
'1494627150426779654,0,0.021442892
'1494627102766907395,1,-0.956607389
'1494626713585782800,1,-0.385713815
'1494626522812010501,0,0.007585344
'1494626318159429634,1,-0.998315384
'1494623892262031360,1,-0.996720943
'1494623831549480960,0,0.00575301
'1494623452233445380,2,0.473589188
'1494623250340618242,0,0.169208941
'1494623099865677826,0,0.043004961
'1494622954793144327,0,0.017147306
'1494622742372663298,1,-0.99439405
'1494622699905335305,2,0.979837307
'1494619572061630464,0,0.156649924
'1494619169144381440,0,0.020135067
'1494618981944209412,1,-0.997717174
'1494618521162207233,1,-0.533359129
'1494618327251132416,0,0.004414018
'1494618205804974090,1,-0.995370161
'1494618015714971654,0,0.08182052
'1494617783912513537,1,-0.998466499
'1494574164237299723,0,0.099301813
'1494573639810887686,0,0.003937692
'1494560286040379431,1,-0.994222862
'1494556530632544260,0,0.007177968
'1494553245938864139,1,-0.84930117
'1494536201491079177,0,0.068496296
'1494415500021010433,0,0.07340117
'1494413071271575554,2,0.692822151
'1494403339899002884,0,0.155214968
'1494366472830861318,1,-0.995535265
'1494359351204667399,0,0.008839096
'1494347312742731778,0,0.027814937
'1494344514030419969,1,-0.812896933
'1494341337172242434,1,-0.997121999
'1494332786169110540,1,-0.996474304
'1494311724408881157,1,-0.994995671
'1494301361621635076,0,0.194502482
'1494269760141508614,0,0.013341633
'1494254318970707968,1,-0.939588334
'1494235085360480258,0,0.041126227
'1494231498718949379,1,-0.996586972
'1494222165239074819,0,0.04153799
'1494221314210598924,1,-0.996363361
'1494211051893796868,1,-0.519111969
'1494182107849052161,1,-0.998959926
'1494055268308725768,1,-0.557580437
'1494054378151583746,1,-0.957694035
'1494051999062667266,0,0.066836842
'1494007291053490185,1,-0.99612959
'1494005307231588354,0,0.015822927
'1494003873496846336,0,0.024504171
'1494000565323448322,1,-0.998068272
'1493992356865097736,0,0.186932753
'1493985907162202116,1,-0.992738092
'1493983993674579975,1,-0.54703125
'1493974496394555400,0,0.051031605
'1493972725718827011,1,-0.999021631
'1493971174233096192,1,-0.991198127
'1493967290861342722,2,0.98502837
'1493960353587343362,1,-0.99761742
'1493955822560464896,0,0.100715693
'1493950060513660931,1,-0.99796074
'1493937392780251136,0,0.00268552
'1493935527241912320,0,0.206153685
'1493934890680737795,1,-0.748522119
'1493927443215831040,0,0.008086266
'1493926902142230528,0,0.169811366
'1493913073379389443,2,0.595714378
'1493886834232934402,0,0.011947032
'1493879142592430080,1,-0.996784548
'1493877733276925955,1,-0.923029828
'1493870121026269184,2,0.970329859
'1493851105205309442,1,-0.995523083
'1493838994320338945,1,-0.467847578
'1493825243349200904,1,-0.996810978
'1493800701570560001,0,0.011935261
'1493695909015822340,0,0.016801093
'1493681639720996865,0,0.119651755
'1493676424967991304,1,-0.995827248
'1493669760009125898,1,-0.973460604
'1493657864853934088,1,-0.764810252
'1493650885762818054,1,-0.5541137
'1493640463437471750,0,0.077245005
'1493636222580891648,1,-0.950192656
'1493614528642359306,1,-0.994608866
'1493572065168867328,0,0.090702072
'1493559698246799360,1,-0.998168518
'1493546128549326848,1,-0.992753429
'1493530907604668417,0,0.023490938
'1493526299524091906,1,-0.997408537
'1493521012348145668,1,-0.671103349
'1493489039181324290,0,0.003494928
'1493446066674741250,1,-0.93860778
'1493330755895939079,0,0.012211987
'1493305810713198593,0,0.0030306
'1493294844017623041,1,-0.992660093
'1493283215641042948,0,0.001707764
'1493249652635938821,1,-0.683561704
'1493227874878427141,0,0.054670558
'1493222020670267398,1,-0.90214128
'1493214956526972929,2,0.980754917
'1493208488570507267,1,-0.968920434
'1493184928275701760,0,0.010591172
'1493162329990696960,0,0.005875651
'1493151979710918658,0,0.017603919
'1493143223837020161,2,0.733582569
'1493133796069289985,1,-0.982485096
'1493130158538113031,2,0.590193419
'1493098869982441474,1,-0.724143655
'1493084192481202184,1,-0.970412688
'1493047027827101709,0,0.016574039
'1492980005810356225,2,0.689628116
'1492951538859401219,0,0.00510913
'1492931373757308936,0,0.201792625
'1492930422447255560,0,0.028546258
'1492904448275922945,1,-0.997973897
'1492903360516743169,0,0.028827259
'1492898983592738826,0,0.143928431
'1492895320753287173,2,0.966296655
'1492891929389973505,0,0.101634465
'1492888498176729094,0,0.002396
'1492868593880637443,0,0.136805757
'1492861833895624709,1,-0.998634297
'1492861831727173637,0,0.003956866
'1492847247574327297,1,-0.998083143
'1492844510539358211,1,-0.957106137
'1492843092914982913,2,0.812612897
'1492841235798798341,0,0.085865727
'1492837583839277059,1,-0.99635046
'1492833311324086275,0,0.00833995
'1492813708166406148,0,0.147157775
'1492812083355955202,0,0.148854316
'1492798601457713153,1,-0.997993982
'1492790853420699650,1,-0.99332696
'1492785524725141507,0,0.010856842
'1492784079107989504,1,-0.505087471
'1492775183458963459,1,-0.997426268
'1492760637193265152,1,-0.876065317
'1492756240983855105,1,-0.997706183
'1492736063735013376,0,0.029861331
'1492613729955033088,2,0.546759115
'1492572642028797960,1,-0.526173512
'1492547165599813635,0,0.042355531
'1492533725191708672,0,0.01329636
'1492515097943629828,1,-0.996228386
'1492503531219259394,1,-0.982173204
'1492501705908531209,1,-0.997687628
'1492482796136325121,1,-0.994881373
'1492477594196979712,1,-0.996102816
'1492476904636665861,1,-0.89569345
'1492419557734109186,1,-0.995418113
'1492411435137310724,0,0.021297113
'1492410631869370369,1,-0.991845373
'1492403822416826370,0,0.008721746
'1492398370765385729,1,-0.990578928
'1492396443562397697,1,-0.998614515
'1492385756769402882,1,-0.996932042
'1492374217278562306,0,0.013405558
'1492369174777192448,2,0.646253924
'1492255929391321091,1,-0.998350217
'1492238050511962112,0,0.169253896
'1492226724901314571,1,-0.937366101
'1492212727372255240,1,-0.990957967
'1492186534006640640,1,-0.998718672
'1492165974665179145,1,-0.99777726
'1492154196757467136,0,0.07213211
'1492152337447763970,1,-0.996320196
'1492151935188803588,0,0.016660473
'1492140634727235584,0,0.043002126
'1492121954144292870,1,-0.985099005
'1492108620959473668,1,-0.573327805
'1492100189527674891,1,-0.997881455
'1492089732620296194,1,-0.997331979
'1492089578286682127,0,0.002005228
'1492084918423375875,1,-0.994742497
'1492082549975392298,1,-0.883637531
'1492072196264665116,1,-0.996513292
'1492061822752546816,0,0.006432564
'1492059035251908611,1,-0.997841026
'1492058392394874889,0,0.052505844
'1492055780266229761,0,0.016365655
'1492050539047231488,1,-0.996777779
'1491999842612260865,2,0.854490671
'1491984443996885024,0,0.002765303
'1491973736437895188,0,0.035309065
'1491972618475524108,2,0.968522915
'1491950691635630080,1,-0.986503301
'1491948614473682944,2,0.984499056
'1491934981215731724,0,0.218247057
'1491904280676257796,1,-0.997751729
'1491873186279051273,1,-0.998612733
'1491867988647100426,1,-0.99793806
'1491865990971469824,1,-0.996411037
'1491864481193996291,1,-0.99612139
'1491864468200034316,2,0.559269088
'1491861337173024771,1,-0.52080063
'1491856974081839113,0,0.055293433
'1491855388429504522,1,-0.994791279
'1491853085945257986,0,0.005501012
'1491851612876427264,1,-0.971267751
'1491851490436296704,1,-0.877156765
'1491841395862257669,0,0.192874251
'1491840459395813377,1,-0.813243119
'1491838769133203460,1,-0.576175442
'1491838574093905922,0,0.122946326
'1491838174200532994,1,-0.998613814
'1491837206801096708,2,0.970021468
'1491836948620746753,1,-0.990661806
'1491836587948363777,0,0.026009912
'1491828616170196994,0,0.002034874
'1491826924854910978,0,0.047738656
'1491824671607635968,2,0.898236251
'1491822305214935042,0,0.006226044
'1491818259972251654,1,-0.995145425
'1491814165383630853,0,0.207165487
'1491803558424895495,0,0.141863919
'1491782943383109636,1,-0.996897942
'1491781685695942656,1,-0.985435316
'1491762594042073100,1,-0.891038978
'1491729618046533638,2,0.898236251
'1491727047080693763,1,-0.998713802
'1491726502920081410,0,0.122868067
'1491725864077340674,1,-0.9973076
'1491725411629383690,0,0.006027328
'1491723849330790400,1,-0.99173161
'1491715937745182723,0,0.021848948
'1491710675479150592,0,0.045193436
'1491680362132656128,1,-0.998944462
'1491672278500884483,0,0.014365438
'1491671179098308609,0,0.014880042
'1491616574209507329,0,0.004857573
'1491518076042596352,1,-0.993126647
'1491495051607912456,0,0.038798433
'1491491019791208451,0,0.004325943
'1491478434849173504,0,0.078335821
'1491455068281139202,0,0.015457068
'1491437719431819264,0,0.02960629
'1491435964698607616,0,0.19548686
'1491430377277526025,0,0.097101192
'1491406618474467329,0,0.002307174
