TweetID,SentimentClass-0:neutral-1:negative-2:positive,SentimentScore
'1490443039067840514,0,0.01969318
'1490424081350594566,1,-0.97715511
'1490420075454681100,1,-0.995815179
'1490413468184457229,1,-0.945340004
'1490404876270067722,0,0.15404798
'1490399227008241670,0,0.036400131
'1490358939350974476,1,-0.723629362
'1490317791647473664,0,0.015794898
'1490305955887726595,0,0.003518426
'1490289835814395904,2,0.642034842
'1490289726594633728,1,-0.96984779
'1490289717396623366,1,-0.99626041
'1490286459328335874,2,0.755582352
'1490280357819817989,2,0.964254507
'1490280065699090433,1,-0.994345256
'1490280020002095106,0,0.020328965
'1490279566425923587,1,-0.955537273
'1490279394799140865,0,0.054040318
'1490270727081185281,0,0.03414223
'1490269392449552387,1,-0.997733886
'1490267136320839680,2,0.985551424
'1490267041030459394,2,0.961957932
'1490264371854991362,0,0.010267513
'1490259481086812160,2,0.975346275
'1490041423831478272,1,-0.967581842
'1490029907551924226,1,-0.98296685
'1490028524761198594,0,0.009656738
'1489996535542824961,1,-0.994824463
'1489961440316383232,1,-0.853435223
'1489954240248299522,0,0.025934581
'1489941909690884099,1,-0.998758316
'1489893066123190283,0,0.004373865
'1489869928463310850,1,-0.995819464
'1489865385839140864,0,0.007309683
'1489861968953581569,1,-0.997467648
'1489687570120335366,1,-0.98850968
'1489686409959157766,1,-0.99201957
'1489683821414998018,0,0.24537499
'1489619958896201728,1,-0.997594699
'1489590573904367626,0,0.002659887
'1489540605894139906,1,-0.993532268
'1489519958656753665,1,-0.998415238
'1489497880750694401,1,-0.813628426
'1489486551553818626,1,-0.996372806
'1489456994146791427,1,-0.996421911
'1489284882647949313,0,0.051203112
'1489280994750484482,1,-0.995695822
'1489251980287492108,1,-0.985873707
'1489224117484150788,1,-0.960998115
'1489194505882546178,1,-0.995897513
'1489173407765774337,2,0.968531861
'1489172764422545408,0,0.055002498
'1489165488760496128,1,-0.99808459
'1489161399951577090,1,-0.635940232
'1489142195785400325,1,-0.997921776
'1489141944030801924,1,-0.832681977
'1489107747266256898,0,0.110628114
'1488972604299952128,0,0.017978051
'1488937506775183360,0,0.024372858
'1488934603163422727,2,0.985216332
'1488915225994739718,2,0.653584539
'1488874852337561611,1,-0.789604642
'1488869154706927632,2,0.972345853
'1488811446037368836,0,0.005264737
'1488782111523758085,1,-0.997658251
'1488767596677812234,0,0.131866315
'1488766164738224131,1,-0.565949609
'1488757000980910084,2,0.934318867
'1488737153261740037,1,-0.998577278
'1488728160351006721,0,0.229302102
'1488610046636441606,0,0.043641615
'1488555720886956037,0,0.014232601
'1488555318623850497,0,0.011539438
'1488548192388100103,0,0.003762446
'1488547609425981442,1,-0.993422388
